Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,China,Tianjin,2020-01-31,32,,,32,,,,,,,
2,China,Tianjin,2020-02-29,136,3,109,,,,,,,,
3,China,Tianjin,2020-03-31,174,3,135,62,0,26,0.41935483870967744,0.0,1.0,26,
4,China,Tianjin,2020-04-30,190,3,184,52,0,49,0.9423076923076923,0.0,1.0,49,0.0
5,China,Tianjin,2020-05-31,192,3,188,5,0,4,0.8,0.0,1.0,4,0.0
6,China,Tianjin,2020-06-30,198,3,194,7,0,6,0.8571428571428571,0.0,1.0,6,0.0
7,China,Tianjin,2020-07-31,205,3,195,8,0,1,0.125,0.0,1.0,1,0.0
8,China,Tianjin,2020-08-31,229,3,213,31,0,18,0.5806451612903226,0.0,1.0,18,0.0
9,China,Tianjin,2020-09-30,240,3,233,24,0,20,0.8333333333333334,0.0,1.0,20,0.0
10,China,Tianjin,2020-10-31,270,3,251,34,0,18,0.5294117647058824,0.0,1.0,18,0.0
11,China,Tianjin,2020-11-22,298,3,277,44,0,26,0.5909090909090909,0.0,1.0,26,0.0
