Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,China,Ningxia,2020-01-31,21,,,21,,,,,,,
2,China,Ningxia,2020-02-29,73,0,69,,,,,,,,
3,China,Ningxia,2020-03-31,75,0,75,6,0,6,1.0,0.0,1.0,6,
4,China,Ningxia,2020-04-30,75,0,75,0,0,0,,,,0,
5,China,Ningxia,2020-05-31,75,0,75,0,0,0,,,,0,
6,China,Ningxia,2020-06-30,75,0,75,0,0,0,,,,0,
7,China,Ningxia,2020-07-31,75,0,75,0,0,0,,,,0,
8,China,Ningxia,2020-08-31,75,0,75,0,0,0,,,,0,
9,China,Ningxia,2020-09-30,75,0,75,0,0,0,,,,0,
10,China,Ningxia,2020-10-31,75,0,75,0,0,0,,,,0,
11,China,Ningxia,2020-11-27,75,0,75,0,0,0,,,,0,
