Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,China,Hainan,2020-01-31,52,1,1,52,1,1,0.038461538461538464,0.5,0.5,2,
2,China,Hainan,2020-02-29,168,5,148,166,4,147,0.9096385542168675,0.026490066225165563,0.9735099337748344,151,0.4735099337748344
3,China,Hainan,2020-03-31,168,6,162,15,1,14,1.0,0.06666666666666667,0.9333333333333333,15,-0.040176600441501065
4,China,Hainan,2020-04-30,168,6,162,0,0,0,,,,0,
5,China,Hainan,2020-05-31,169,6,163,1,0,1,1.0,0.0,1.0,1,
6,China,Hainan,2020-06-30,171,6,165,2,0,2,1.0,0.0,1.0,2,0.0
7,China,Hainan,2020-07-31,171,6,165,0,0,0,,,,0,
8,China,Hainan,2020-08-31,171,6,165,0,0,0,,,,0,
9,China,Hainan,2020-09-30,171,6,165,0,0,0,,,,0,
10,China,Hainan,2020-10-31,171,6,165,0,0,0,,,,0,
11,China,Hainan,2020-11-22,171,6,165,0,0,0,,,,0,
