Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,Philippines,,2020-01-31,1,,,1,,,,,,,
2,Philippines,,2020-02-29,3,1,1,,,,,,,,
3,Philippines,,2020-03-31,2084,88,49,2082,87,48,0.06484149855907781,0.6444444444444445,0.35555555555555557,135,
4,Philippines,,2020-04-30,8488,568,1043,8351,480,994,0.17650580768770208,0.3256445047489824,0.6743554952510177,1474,0.3187999396954621
5,Philippines,,2020-05-31,18086,957,3909,16475,389,2866,0.1975720789074355,0.11950844854070661,0.8804915514592934,3255,0.2061360562082757
6,Philippines,,2020-06-30,37514,1266,10233,32648,309,6324,0.20316711590296496,0.046585255540479424,0.9534147444595206,6633,0.0729231930002272
7,Philippines,,2020-07-31,93354,2023,65178,81855,757,54945,0.680495999022662,0.013590176295285626,0.9864098237047144,55702,0.03299507924519385
8,Philippines,,2020-08-31,220819,3558,157562,153618,1535,92384,0.6113801768021977,0.01634387078226983,0.9836561292177302,93919,-0.0027536944869842594
9,Philippines,,2020-09-30,311694,5504,253488,150574,1946,95926,0.6499926946219134,0.01988311263691352,0.9801168873630864,97872,-0.0035392418546437154
10,Philippines,,2020-10-31,380729,7221,331046,121737,1717,77558,0.6511988959806797,0.021658782718385367,0.9783412172816146,79275,-0.0017756700814718362
11,Philippines,,2020-11-22,418818,8123,386486,80551,902,55440,0.699457486561309,0.016009371339320577,0.9839906286606794,56342,0.005649411379064828
