Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,India,,2020-01-31,1,,,1,,,,,,,
2,India,,2020-02-29,3,0,3,,,,,,,,
3,India,,2020-03-31,1397,35,123,1394,35,120,0.11119081779053085,0.22580645161290322,0.7741935483870968,155,
4,India,,2020-04-30,34863,1154,9068,34705,1119,8945,0.2899870335686501,0.11118839427662958,0.8888116057233705,10064,0.11461805733627373
5,India,,2020-05-31,190609,5408,91852,180387,4254,82784,0.48250705427774726,0.048875203933913924,0.9511247960660861,87038,0.06231319034271565
6,India,,2020-06-30,585493,17400,347979,488233,11992,256127,0.5491619779900171,0.04472640879609427,0.9552735912039058,268119,0.0041487951378196275
7,India,,2020-07-31,1695988,36511,1094374,1330609,19111,746395,0.5753049919247503,0.024965186425710575,0.9750348135742894,765506,0.01976122237038369
8,India,,2020-08-31,3691166,65288,2839882,2560281,28777,1745508,0.6930040101067031,0.016218927624367,0.983781072375633,1774285,0.008746258801343498
9,India,,2020-09-30,6312584,98678,5273201,3407414,33390,2433319,0.7239240667556099,0.013536254175097266,0.9864637458249027,2466709,0.002682673449269757
10,India,,2020-10-31,8184082,122111,7491513,2812203,23433,2218312,0.7971490678304518,0.010453017626893336,0.9895469823731067,2241745,0.0030832365482039714
11,India,,2020-11-25,9266705,135223,8679138,1653081,13112,1187625,0.7263630759775231,0.010919959991238714,0.9890800400087613,1200737,-0.0004669423643454129
