Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
2,San Marino,,2020-02-29,1,0,0,1,0,0,0.0,,,0,
3,San Marino,,2020-03-31,236,26,13,236,26,13,0.1652542372881356,0.6666666666666666,0.3333333333333333,39,
4,San Marino,,2020-04-30,569,41,78,530,15,65,0.1509433962264151,0.1875,0.8125,80,0.4791666666666667
5,San Marino,,2020-05-31,671,42,357,552,1,279,0.5072463768115942,0.0035714285714285713,0.9964285714285714,280,0.18392857142857144
6,San Marino,,2020-06-30,698,42,656,299,0,299,1.0,0.0,1.0,299,0.0035714285714285587
7,San Marino,,2020-07-31,699,42,657,1,0,1,1.0,0.0,1.0,1,0.0
8,San Marino,,2020-08-31,715,42,660,16,0,3,0.1875,0.0,1.0,3,0.0
9,San Marino,,2020-09-30,732,42,680,30,0,20,0.6666666666666666,0.0,1.0,20,0.0
10,San Marino,,2020-10-31,928,42,721,206,0,41,0.19902912621359223,0.0,1.0,41,0.0
11,San Marino,,2020-11-22,1395,43,1082,632,1,361,0.5727848101265823,0.0027624309392265192,0.9972375690607734,362,-0.002762430939226568
