Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
3,Eritrea,,2020-03-31,15,0,0,15,0,0,0.0,,,0,
4,Eritrea,,2020-04-30,39,0,26,39,0,26,0.6666666666666666,0.0,1.0,26,
5,Eritrea,,2020-05-31,39,0,39,13,0,13,1.0,0.0,1.0,13,0.0
6,Eritrea,,2020-06-30,203,0,53,164,0,14,0.08536585365853659,0.0,1.0,14,0.0
7,Eritrea,,2020-07-31,279,0,225,226,0,172,0.7610619469026548,0.0,1.0,172,0.0
8,Eritrea,,2020-08-31,319,0,284,94,0,59,0.6276595744680851,0.0,1.0,59,0.0
9,Eritrea,,2020-09-30,375,0,341,91,0,57,0.6263736263736264,0.0,1.0,57,0.0
10,Eritrea,,2020-10-31,463,0,412,122,0,71,0.5819672131147541,0.0,1.0,71,0.0
11,Eritrea,,2020-11-24,558,0,473,146,0,61,0.4178082191780822,0.0,1.0,61,0.0
