Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,France,,2020-01-31,5,,,5,,,,,,,
2,France,,2020-02-29,100,2,12,,,,,,,,
3,France,,2020-03-31,52128,3523,9444,52114,3521,9432,0.2485512530222205,0.27182891994132635,0.7281710800586737,12953,
4,France,,2020-04-30,165764,24376,49476,152797,20853,40032,0.3984698652460454,0.3424981522542498,0.6575018477457502,60885,-0.07066923231292355
5,France,,2020-05-31,185851,28751,66123,111999,4375,16647,0.18769810444736112,0.20811530777280943,0.7918846922271906,21022,0.13438284448144044
6,France,,2020-06-30,194373,29763,71714,99499,1012,5591,0.06636247600478397,0.15326366802968347,0.8467363319703165,6603,0.0548516397431259
7,France,,2020-07-31,213093,30150,71656,111616,387,-58,0.0029476060779816513,1.1762917933130699,-0.1762917933130699,329,-1.0230281252833864
8,France,,2020-08-31,302175,30495,73537,200369,345,1881,0.011109502967025838,0.15498652291105122,0.8450134770889488,2226,1.0213052704020187
9,France,,2020-09-30,576907,31769,79128,472875,1274,5591,0.014517578641289981,0.18557902403495993,0.81442097596504,6865,-0.030592501123908766
10,France,,2020-10-31,1373036,36494,97475,1262139,4725,18347,0.01828007850165473,0.20479368932038836,0.7952063106796117,23072,-0.019214665285428367
11,France,,2020-11-22,2140829,48398,129722,2006860,11904,32247,0.022000039863268987,0.26962016715363185,0.7303798328463681,44151,-0.06482647783324358
