Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
2,Denmark,,2020-02-29,3,0,0,3,0,0,0.0,,,0,
3,Denmark,,2020-03-31,2860,90,76,2860,90,76,0.05804195804195804,0.5421686746987951,0.4578313253012048,166,
4,Denmark,,2020-04-30,9158,452,6546,8992,362,6470,0.7597864768683275,0.05298594847775176,0.9470140515222483,6832,0.4891827262210435
5,Denmark,,2020-05-31,11669,574,10362,4671,122,3816,0.8430742881609934,0.030980192991366177,0.9690198070086338,3938,0.022005755486385503
6,Denmark,,2020-06-30,12768,605,11649,1832,31,1287,0.7194323144104804,0.023520485584218515,0.9764795144157815,1318,0.007459707407147742
7,Denmark,,2020-07-31,13789,615,12578,1535,10,929,0.6117263843648209,0.010649627263045794,0.9893503727369543,939,0.01287085832117274
8,Denmark,,2020-08-31,16985,624,15205,3792,9,2627,0.6951476793248945,0.0034142640364188165,0.9965857359635811,2636,0.007235363226626879
9,Denmark,,2020-09-30,27998,650,20754,12169,26,5549,0.4581313172816172,0.004663677130044843,0.9953363228699551,5575,-0.0012494130936260284
10,Denmark,,2020-10-31,46351,721,34523,24947,71,13769,0.5547761253858179,0.005130057803468208,0.9948699421965318,13840,-0.0004663806734233056
11,Denmark,,2020-11-24,73021,797,57075,37777,76,22552,0.598988802710644,0.003358670673501856,0.9966413293264982,22628,0.0017713871299663841
