Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
2,Lebanon,,2020-02-29,4,0,0,4,0,0,0.0,,,0,
3,Lebanon,,2020-03-31,470,12,37,470,12,37,0.10425531914893617,0.24489795918367346,0.7551020408163265,49,
4,Lebanon,,2020-04-30,725,24,150,676,12,113,0.1849112426035503,0.096,0.904,125,0.14889795918367354
5,Lebanon,,2020-05-31,1220,27,712,1046,3,562,0.5401529636711281,0.005309734513274336,0.9946902654867257,565,0.09069026548672565
6,Lebanon,,2020-06-30,1778,34,1183,1039,7,471,0.4600577478344562,0.014644351464435146,0.9853556485355649,478,-0.009334616951160779
7,Lebanon,,2020-07-31,4555,61,1761,3338,27,578,0.18124625524266028,0.04462809917355372,0.9553719008264463,605,-0.029983747709118602
8,Lebanon,,2020-08-31,17308,167,4811,15486,106,3050,0.2037969779155366,0.03358681875792142,0.9664131812420785,3156,0.011041280415632237
9,Lebanon,,2020-09-30,39634,367,17565,34656,200,12754,0.3737880886426593,0.015439246564767639,0.9845607534352323,12954,0.01814757219315377
10,Lebanon,,2020-10-31,81228,637,41624,63296,270,24059,0.38436868048533873,0.01109786674339266,0.9889021332566074,24329,0.004341379821375058
11,Lebanon,,2020-11-27,123982,980,74008,81721,343,32384,0.40047233881132144,0.01048064289424634,0.9895193571057537,32727,0.0006172238491463089
