Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
2,Afghanistan,,2020-02-29,1,0,0,1,0,0,0.0,,,0,
3,Afghanistan,,2020-03-31,174,4,5,174,4,5,0.05172413793103448,0.4444444444444444,0.5555555555555556,9,
4,Afghanistan,,2020-04-30,2171,64,260,2162,60,255,0.14569842738205366,0.19047619047619047,0.8095238095238095,315,0.25396825396825395
5,Afghanistan,,2020-05-31,15205,257,1328,14881,193,1068,0.08473892883542773,0.15305313243457574,0.8469468675654243,1261,0.03742305804161472
6,Afghanistan,,2020-06-30,31517,746,14131,29932,489,12803,0.4440732326606976,0.03678904604273247,0.9632109539572675,13292,0.11626408639184327
7,Afghanistan,,2020-07-31,36675,1272,25509,21798,526,11378,0.5461051472612166,0.04418682795698925,0.9558131720430108,11904,-0.0073977819142567736
8,Afghanistan,,2020-08-31,38165,1402,29089,11384,130,3580,0.3258959943780745,0.03504043126684636,0.9649595687331537,3710,0.009146396690142944
9,Afghanistan,,2020-09-30,39268,1458,32789,8777,56,3700,0.42793665261478864,0.014909478168264111,0.9850905218317358,3756,0.02013095309858215
10,Afghanistan,,2020-10-31,41425,1536,34321,7178,78,1532,0.22429646140986348,0.0484472049689441,0.9515527950310559,1610,-0.0335377268006799
11,Afghanistan,,2020-11-23,44988,1695,35976,9131,159,1655,0.19866389223524258,0.087651598676957,0.912348401323043,1814,-0.039204393708012986
