Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
2,Georgia,,2020-02-29,1,0,0,1,0,0,0.0,,,0,
3,Georgia,,2020-03-31,110,0,21,110,0,21,0.19090909090909092,0.0,1.0,21,
4,Georgia,,2020-04-30,539,6,184,518,6,163,0.32625482625482627,0.03550295857988166,0.9644970414201184,169,-0.035502958579881616
5,Georgia,,2020-05-31,783,12,605,593,6,421,0.7200674536256324,0.01405152224824356,0.9859484777517564,427,0.02145143633163804
6,Georgia,,2020-06-30,928,15,794,311,3,189,0.617363344051447,0.015625,0.984375,192,-0.0015734777517564247
7,Georgia,,2020-07-31,1168,17,940,359,2,146,0.41225626740947074,0.013513513513513514,0.9864864864864865,148,0.0021114864864865135
8,Georgia,,2020-08-31,1487,19,1240,530,2,300,0.569811320754717,0.006622516556291391,0.9933774834437086,302,0.006890996957222062
9,Georgia,,2020-09-30,6192,39,3120,4933,20,1880,0.3851611595378066,0.010526315789473684,0.9894736842105263,1900,-0.0039037992331822924
10,Georgia,,2020-10-31,38936,307,22691,35777,268,19571,0.5545182659250356,0.013508745400473815,0.9864912545995261,19839,-0.002982429611000148
11,Georgia,,2020-11-23,108690,1012,89170,85692,705,66479,0.7840171777995613,0.010493569897594665,0.9895064301024054,67184,0.0030151755028792193
