Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,Vietnam,,2020-01-31,2,,,2,,,,,,,
2,Vietnam,,2020-02-29,16,0,16,,,,,,,,
3,Vietnam,,2020-03-31,212,0,58,196,0,42,0.21428571428571427,0.0,1.0,42,
4,Vietnam,,2020-04-30,270,0,219,212,0,161,0.7594339622641509,0.0,1.0,161,0.0
5,Vietnam,,2020-05-31,328,0,279,109,0,60,0.5504587155963303,0.0,1.0,60,0.0
6,Vietnam,,2020-06-30,355,0,335,76,0,56,0.7368421052631579,0.0,1.0,56,0.0
7,Vietnam,,2020-07-31,558,3,373,223,3,38,0.18385650224215247,0.07317073170731707,0.926829268292683,41,-0.07317073170731703
8,Vietnam,,2020-08-31,1044,34,707,668,31,334,0.5464071856287425,0.08493150684931507,0.915068493150685,365,-0.011760775141998026
9,Vietnam,,2020-09-30,1094,35,1010,353,1,303,0.8611898016997167,0.003289473684210526,0.9967105263157895,304,0.08164203316510454
10,Vietnam,,2020-10-31,1180,35,1062,135,0,52,0.3851851851851852,0.0,1.0,52,0.003289473684210509
11,Vietnam,,2020-11-26,1331,35,1166,234,0,104,0.4444444444444444,0.0,1.0,104,0.0
