Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,Thailand,,2020-01-31,19,,5,19,,5,,,,,
2,Thailand,,2020-02-29,42,0,28,,,23,,,,,
3,Thailand,,2020-03-31,1651,10,342,1623,10,314,0.19963031423290203,0.030864197530864196,0.9691358024691358,324,
4,Thailand,,2020-04-30,2954,54,2684,2602,44,2342,0.9169869331283628,0.018440905280804692,0.9815590947191953,2386,0.012423292250059559
5,Thailand,,2020-05-31,3081,57,2963,343,3,279,0.8221574344023324,0.010638297872340425,0.9893617021276596,282,0.007802607408464279
6,Thailand,,2020-06-30,3171,58,3056,151,1,93,0.6225165562913907,0.010638297872340425,0.9893617021276596,94,0.0
7,Thailand,,2020-07-31,3310,58,3125,196,0,69,0.3520408163265306,0.0,1.0,69,0.010638297872340385
8,Thailand,,2020-08-31,3417,58,3274,234,0,149,0.6367521367521367,0.0,1.0,149,0.0
9,Thailand,,2020-09-30,3569,59,3379,237,1,105,0.4472573839662447,0.009433962264150943,0.9905660377358491,106,-0.009433962264150941
10,Thailand,,2020-10-31,3784,59,3592,346,0,213,0.615606936416185,0.0,1.0,213,0.009433962264150941
11,Thailand,,2020-11-25,3942,60,3788,291,1,196,0.6769759450171822,0.005076142131979695,0.9949238578680203,197,-0.005076142131979711
