Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
2,Bahrain,,2020-02-29,41,0,0,41,0,0,0.0,,,0,
3,Bahrain,,2020-03-31,567,4,295,567,4,295,0.527336860670194,0.013377926421404682,0.9866220735785953,299,
4,Bahrain,,2020-04-30,3040,8,1500,2741,4,1205,0.4410798978475009,0.0033085194375516956,0.9966914805624483,1209,0.010069406983852947
5,Bahrain,,2020-05-31,11398,19,6673,9890,11,5173,0.5241658240647118,0.0021219135802469135,0.9978780864197531,5184,0.00118660585730479
6,Bahrain,,2020-06-30,26758,87,21331,20066,68,14658,0.7338782019336191,0.004617683009642808,0.9953823169903572,14726,-0.0024957694293958887
7,Bahrain,,2020-07-31,40982,147,37840,19564,60,16509,0.8469126967900225,0.003621220351258374,0.9963787796487417,16569,0.0009964626583844893
8,Bahrain,,2020-08-31,51972,190,49047,13985,43,11207,0.8044333214158026,0.003822222222222222,0.9961777777777778,11250,-0.00020100187096383504
9,Bahrain,,2020-09-30,70864,251,64838,21627,61,15791,0.7329726730475794,0.0038480948776179664,0.996151905122382,15852,-2.5872655395775546e-05
10,Bahrain,,2020-10-31,81645,321,78719,16556,70,13881,0.8426552307320608,0.005017561465127948,0.994982438534872,13951,-0.0011694665875100485
11,Bahrain,,2020-11-21,85591,338,83617,6551,17,4898,0.7502671347885819,0.0034587995930824007,0.9965412004069176,4915,0.001558761872045622
